品类组	品类	子品类	货号	评论内容	评论种类	一级分类	二级分类	三级分类
发饰	发夹	爪夹	84723723	实物颜色还不错哦	好评	外观与设计	颜色设计	颜色好看
发饰	发夹	爪夹	85156302	实物还不错哦	好评	外观与设计	其他外观与设计	不错
发饰	发夹	爪夹	83941935	挺好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84723725	非常漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	83938981	价格便宜。质量不错	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	爪夹	85307018	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	85221902	挺可爱的	好评	外观与设计	款式设计	可爱
发饰	发夹	爪夹	85108601	夹得紧	差评	工艺与做工	开合工艺	夹太紧
发饰	发夹	头箍	85183003	百搭	好评	外观与设计	款式设计	百搭
发饰	发夹	爪夹	83938944	很漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	85221901	很好看的蝴蝶结	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84813803	挺好用的	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	爪夹	84723725	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	84276906	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84775303	不太好看	差评	外观与设计	款式设计	不好看或丑
发饰	发夹	头箍	85113901	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84955503	很好看 质量好	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84955503	很好看 质量好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	鸭夹	85176701	很漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	BB夹	84526406	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	BB夹	84701404	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	84774707	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	85133401	比想象中大很多！！！	中评	外观与设计	版型或尺寸	版型或尺码大
发饰	发夹	头箍	85091201	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	81339753	没用多久就坏了	差评	工艺与做工	其他工艺与做工	坏了
发饰	发夹	头箍	85145302	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84750508	带了一次铃铛就掉了	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	发夹	组合发饰	85151014	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	爪夹	83941921	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84821623	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	85204101	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	85010102	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	爪夹	85203611	质量不太好	差评	工艺与做工	其他工艺与做工	质量或做工差
发饰	发夹	爪夹	85113101	褪色成这样，没给我吓死，真服了	差评	材质与成分	其他材质与成分	其他材质与成分
发饰	发夹	爪夹	85113007	质量很好做工精细  戴上好好看  服务态度很好 物流也快	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	爪夹	85113007	质量很好做工精细  戴上好好看  服务态度很好 物流也快	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	爪夹	85113007	质量很好做工精细  戴上好好看  服务态度很好 物流也快	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	85182301	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84960803	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	马尾夹	85087701	可以，发量少可以用	好评	外观与设计	其他外观与设计	好
发饰	发夹	BB夹	84381203	很喜欢可可爱爱的发夹	好评	外观与设计	款式设计	可爱
发饰	发夹	头箍	85155504	好看。	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84268203	使用度很好	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	BB夹	84813102	毛茸茸的，戴上非常可爱	好评	外观与设计	款式设计	可爱
发饰	发夹	BB夹	84813102	毛茸茸的，戴上非常可爱	好评	外观与设计	款式设计	可爱
发饰	发夹	爪夹	84723712	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	BB夹	84813006	试了一下很喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	鸭夹	84979702	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	83941985	买到手没几天，发夹抢上的装饰就掉了，很垃圾	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	发夹	爪夹	83938936	质量很不错 价格很少优惠	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	爪夹	83938993	买的时候都没注意看那个标，回来的时候看到掉了一个标，质检很差	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	发夹	鸭夹	84283902	特别特别好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84808802	买回来，戴头上还没有一个小时，那个贴画就掉了，服了	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	发夹	头箍	84663604	质量好，推荐购买哦	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	爪夹	84812705	夹不稳头发	差评	工艺与做工	开合工艺	夹不紧或夹不住
发饰	发夹	鸭夹	84412813	这个款式最可爱的猫咪不一样。	好评	外观与设计	款式设计	可爱
发饰	发夹	鸭夹	84555702	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	BB夹	84822705	1.9号买的，当天钻就掉了，第二天自己粘好，今天钻又掉了	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	发夹	组合发饰	81719927	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	83391025	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84963901	很合适	好评	外观与设计	版型或尺寸	合身
发饰	发夹	鸭夹	85010101	好用。	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	鸭夹	85192702	好可爱。	好评	外观与设计	款式设计	可爱
发饰	发夹	马尾夹	85304202	好看。	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	BB夹	84823838	发夹不能夹住头发还叫什么发夹	差评	工艺与做工	开合工艺	夹不紧或夹不住
发饰	发夹	头箍	84960804	质量特别好，软软糯糯得！	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	鸭夹	75893911	带着很大气	好评	外观与设计	款式设计	潮流时尚或有设计感
发饰	发夹	头箍	84586815	商品很好，一直在三福买买买，但是这家店员态度不好，就站在我旁边玩手机不理人，问一下搭理一下，很消极，差评	好评	外观与设计	其他外观与设计	好
发饰	发夹	BB夹	85010006	商品很好，一直在三福买买买，但是这家店员态度不好，就站在我旁边玩手机不理人，问一下搭理一下，很消极，差评	好评	外观与设计	其他外观与设计	好
发饰	发夹	头箍	85234302	颜色超复古	好评	外观与设计	颜色设计	颜色好看
发饰	发夹	头箍	84821601	颜色好看价格实惠	好评	外观与设计	颜色设计	颜色好看
发饰	发夹	组合发饰	77446002	好看。	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	85155501	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	马尾夹	85205402	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	83941914	夹不住头发	差评	工艺与做工	开合工艺	夹不紧或夹不住
发饰	发夹	马尾夹	85192902	特别好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	84809401	好用很漂亮带着很好哈哈哈哈	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	鸭夹	84809401	好用很漂亮带着很好哈哈哈哈	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84956405	夹子很好用	好评	功能与效果	其他功能与效果反馈	效果好
发饰	发夹	爪夹	83941984	挺好的，喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	头箍	85092703	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	马尾夹	85108701	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	83391025	质量不错	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	爪夹	85113101	质量也太差了，掉色 尴尬死了 而且线下也比线上贵了一半（为什么发不了图片）	差评	材质与成分	其他材质与成分	其他材质与成分
发饰	发夹	组合发饰	84558703	漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	85157106	收到这个鹿角都是开胶严重要掉下来的	差评	工艺与做工	粘合或结构牢固性	开胶
发饰	发夹	头箍	84821601	很漂亮很喜欢	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84956405	中午买的带到晚上金属材料就掉了	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	发夹	鸭夹	85173701	好看，但是太松了	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	85173701	好看，但是太松了	差评	工艺与做工	开合工艺	夹不紧或夹不住
发饰	发夹	头箍	85157502	很时尚	好评	外观与设计	款式设计	潮流时尚或有设计感
发饰	发夹	头箍	84990501	不好，无标签有污渍破损，花了23用了一张包邮卡，客服不负责，导购不负责，三福总部不负责	差评	材质与成分	其他材质与成分	其他材质与成分
发饰	发夹	头箍	84990501	不好，无标签有污渍破损，花了23用了一张包邮卡，客服不负责，导购不负责，三福总部不负责	差评	工艺与做工	细节质量	瑕疵
发饰	发夹	头箍	84990501	不好，无标签有污渍破损，花了23用了一张包邮卡，客服不负责，导购不负责，三福总部不负责	差评	工艺与做工	细节质量	残次品
发饰	发夹	BB夹	84703503	带了没有几天掉亮片片	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	发夹	鸭夹	84774703	很漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	85173504	夹刘海侧边都非常棒	好评	功能与效果	其他功能与效果反馈	效果好
发饰	发夹	组合发饰	83404305	看起来很精致	好评	外观与设计	款式设计	精美
发饰	发夹	鸭夹	85133402	好看，很喜欢，很适合冬天	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	85133402	好看，很喜欢，很适合冬天	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	头箍	84775303	很俏皮	好评	外观与设计	款式设计	可爱
发饰	发夹	组合发饰	79238548	好用呢	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	头箍	84955306	质量太差了。还没怎么用。发箍自己就断了。最主要的是断开的切口感觉有胶水的印记，好像是之前就断了，被粘上了的	差评	工艺与做工	粘合或结构牢固性	断裂
发饰	发夹	头箍	84955306	质量太差了。还没怎么用。发箍自己就断了。最主要的是断开的切口感觉有胶水的印记，好像是之前就断了，被粘上了的	差评	工艺与做工	粘合或结构牢固性	黏胶或溢胶
发饰	发夹	鸭夹	84961001	very可爱	好评	外观与设计	款式设计	可爱
发饰	发夹	鸭夹	85012207	好好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84663301	质量太好了	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	头箍	84663404	质量好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	组合发饰	81557607	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	81557612	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	BB夹	84807502	不好用	差评	外观与设计	其他外观与设计	不好
发饰	发夹	BB夹	851788	非常好看，孩子超喜欢~	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84983802	质量很不错	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	爪夹	85113007	质量很好，还会继续选购	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	头箍	84586815	发箍上的价格标签，黏在发箍上，怎么扣都扣不下来，服了	差评	工艺与做工	其他工艺与做工	其他工艺与做工
发饰	发夹	爪夹	83938955	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	83941969	用着不错	好评	外观与设计	其他外观与设计	不错
发饰	发夹	头箍	84979805	这个还可以	中评	外观与设计	其他外观与设计	还行
发饰	发夹	头箍	85170801	喜欢掉	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	组合发饰	80594103	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	83440437	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84957815	漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	85134102	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	84528801	好看，可爱	好评	外观与设计	款式设计	可爱
发饰	发夹	组合发饰	85297206	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	83938987	挺好看的	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84419004	这个很漂亮，亮亮的	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	84663703	不好看	差评	外观与设计	款式设计	不好看或丑
发饰	发夹	鸭夹	84663706	不好看	差评	外观与设计	款式设计	不好看或丑
发饰	发夹	爪夹	84788402	味道很冲买回去老公说很臭，服务很差，折扣也给我算错了，问他他还阴阳怪气的垃圾	差评	材质与成分	材质表现	难闻或异味
发饰	发夹	爪夹	85414501	孩子很喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	鸭夹	85154702	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	85110422	弹性不错	好评	功能与效果	弹性	弹性好
发饰	发夹	鸭夹	85355104	很有质感	好评	材质与成分	材质质感或成分	材质好或材质高级
发饰	发夹	头箍	84821811	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	84470908	质量一般	中评	工艺与做工	其他工艺与做工	质量或做工一般
发饰	发夹	BB夹	84822801	质量一般，图案已经掉了	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	发夹	BB夹	84822806	质量一般	中评	工艺与做工	其他工艺与做工	质量或做工一般
发饰	发夹	BB夹	84822811	买回来孩子刚要试戴，直接断了！质量真差！！	差评	工艺与做工	粘合或结构牢固性	断裂
发饰	发夹	爪夹	83938971	质量很一般把	中评	工艺与做工	其他工艺与做工	质量或做工一般
发饰	发夹	头箍	85190801	挺百搭的	好评	外观与设计	款式设计	百搭
发饰	发夹	组合发饰	85253213	非常喜欢漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	马尾夹	85192902	好好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84813803	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84807007	很好看哦	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	85307016	这个抓夹很好用。	好评	功能与效果	其他功能与效果反馈	效果好
发饰	发夹	BB夹	83808303	发夹很可爱。	好评	外观与设计	款式设计	可爱
发饰	发夹	BB夹	84979504	真的好喜欢这个五角星小发夹。	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	BB夹	84979506	这个咖色的也很好看。	好评	外观与设计	颜色设计	颜色好看
发饰	发夹	鸭夹	84982903	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	85092704	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	85215201	本以为是三分热度，却是十分喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	组合发饰	83597846	发夹特别好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	84454403	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	85297110	很好看啦	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	85113001	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	85113002	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84955702	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	83597850	好看的，超级喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	鸭夹	85154701	好看的，超级喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	鸭夹	84556203	好可爱	好评	外观与设计	款式设计	可爱
发饰	发夹	鸭夹	84556204	好可爱	好评	外观与设计	款式设计	可爱
发饰	发夹	鸭夹	84662106	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	84662302	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	84662709	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	84662710	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84663404	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84664004	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	85193102	很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	发梳	85174101	挺好的质量	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	爪夹	84813803	很好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	爪夹	84723702	很漂亮人，如果有红色就更好了	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84813807	对头发多的宝宝很友好，夹子宽夹的紧，不容易脱落。	好评	外观与设计	便捷性与细节设计	适合不同发量
发饰	发夹	爪夹	84813807	对头发多的宝宝很友好，夹子宽夹的紧，不容易脱落。	好评	工艺与做工	开合工艺	夹太紧
发饰	发夹	爪夹	84813807	对头发多的宝宝很友好，夹子宽夹的紧，不容易脱落。	好评	工艺与做工	粘合或结构牢固性	结实牢固
发饰	发夹	组合发饰	83598421	还没用两天就坏了	差评	工艺与做工	其他工艺与做工	坏了
发饰	发夹	鸭夹	85010102	质感不错	好评	材质与成分	材质质感或成分	质感好
发饰	发夹	头箍	85355202	非常好看的发箍，无异味，不掉毛，毛毛很柔软。	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	85355202	非常好看的发箍，无异味，不掉毛，毛毛很柔软。	好评	材质与成分	材质表现	难闻或异味
发饰	发夹	头箍	85355202	非常好看的发箍，无异味，不掉毛，毛毛很柔软。	好评	材质与成分	材质表现	不掉毛
发饰	发夹	头箍	85355202	非常好看的发箍，无异味，不掉毛，毛毛很柔软。	好评	材质与成分	材质质感或成分	材质舒适
发饰	发夹	鸭夹	85133404	很漂亮 很百搭 质量也很不错  性价比高	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	85133404	很漂亮 很百搭 质量也很不错  性价比高	好评	外观与设计	款式设计	百搭
发饰	发夹	鸭夹	85133404	很漂亮 很百搭 质量也很不错  性价比高	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	发梳	85183203	真的超级喜欢这款  基本每天都戴  太百搭了	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	发梳	85183203	真的超级喜欢这款  基本每天都戴  太百搭了	好评	外观与设计	款式设计	百搭
发饰	发夹	BB夹	84823906	有色差，做工不太好	差评	外观与设计	实物与宣传不符	色差
发饰	发夹	BB夹	84823906	有色差，做工不太好	差评	工艺与做工	其他工艺与做工	质量或做工差
发饰	发夹	BB夹	84661403	粘不紧 一下就掉了  性价比不高	差评	工艺与做工	粘合或结构牢固性	绑不紧
发饰	发夹	头箍	84662001	粘不紧 一下就掉了  性价比不高	差评	工艺与做工	粘合或结构牢固性	绑不紧
发饰	发夹	爪夹	84663902	粘不紧 一下就掉了  性价比不高	差评	工艺与做工	粘合或结构牢固性	绑不紧
发饰	发夹	爪夹	84663905	粘不紧 一下就掉了  性价比不高	差评	工艺与做工	粘合或结构牢固性	绑不紧
发饰	发夹	爪夹	84298902	质量不行掉配件	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	发夹	鸭夹	84586502	萌趣可爱，夏天戴着很清爽	好评	外观与设计	款式设计	可爱
发饰	发夹	鸭夹	84586502	萌趣可爱，夏天戴着很清爽	好评	功能与效果	佩戴舒适性	佩戴舒适
发饰	发夹	爪夹	83941929	不太好用	差评	功能与效果	其他功能与效果反馈	其他功能与效果
发饰	发夹	爪夹	84807207	好看！喜欢！适合冬天！	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84807207	好看！喜欢！适合冬天！	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	鸭夹	852239	很多很多钻，也很结实！	好评	外观与设计	款式设计	闪亮
发饰	发夹	鸭夹	852239	很多很多钻，也很结实！	好评	工艺与做工	粘合或结构牢固性	结实牢固
发饰	发夹	头箍	85190802	太萌啦	好评	外观与设计	款式设计	可爱
发饰	发夹	BB夹	85162602	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	80594120	好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	头箍	84996902	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	851102	质量不错	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	头箍	84922706	挺漂亮的，我挺喜欢的，超爱的	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	马尾夹	85308502	很好看，喜欢🥰	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84807205	上面的爱心有一半是没有胶的	差评	工艺与做工	粘合或结构牢固性	配饰配件脱落
发饰	发夹	鸭夹	85159001	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	马尾夹	85202707	质量好质量好质量好质量好质量好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	马尾夹	85202709	质量好质量好质量好质量好质量好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	马尾夹	85202712	质量好质量好质量好质量好质量好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	鸭夹	75893911	垃圾，夹不住头发，缝隙大，没有齿	差评	外观与设计	便捷性与细节设计	设计不合理
发饰	发夹	鸭夹	75893911	垃圾，夹不住头发，缝隙大，没有齿	差评	工艺与做工	开合工艺	夹不紧或夹不住
发饰	发夹	爪夹	85113001	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	84697802	很好看的	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84278701	戴上不是很舒服 一般般	差评	功能与效果	佩戴舒适性	佩戴不舒适
发饰	发夹	爪夹	84723713	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	马尾夹	85202703	很好看质量很好看看你的了的质量好	好评	工艺与做工	其他工艺与做工	质量或做工好
发饰	发夹	鸭夹	85221101	夹子很好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	85110602	很漂亮	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	83597805	很美观实用	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	组合发饰	85110419	包装精致小巧可爱，绑头发用不勒，棉的。	好评	外观与设计	其他外观与设计	其他外观与设计
发饰	发夹	组合发饰	85110419	包装精致小巧可爱，绑头发用不勒，棉的。	好评	功能与效果	佩戴舒适性	不勒
发饰	发夹	组合发饰	85110419	包装精致小巧可爱，绑头发用不勒，棉的。	好评	材质与成分	材质质感或成分	纯棉
发饰	发夹	鸭夹	84793001	款式好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	鸭夹	85229001	颜色好看	好评	外观与设计	颜色设计	颜色好看
发饰	发夹	鸭夹	85229005	颜色好看	好评	外观与设计	颜色设计	颜色好看
发饰	发夹	爪夹	85113102	好看，洗澡的时候夹在衣称上，水蒸气蒸发，羽毛掉色！搞得墙上全是黑色，有根羽毛还粘我脸上了，也是黑色，老天	差评	工艺与做工	喷涂工艺	掉漆
发饰	发夹	组合发饰	85110406	下次不拆不会买了。太相信商家没拆开看。三个所谓布艺的发圈，一股塑料味，雨伞那种布料。五个电话圈各个接口处都是塑料丝，粗制滥造。直接扔了。	差评	材质与成分	材质表现	难闻或异味
发饰	发夹	组合发饰	85110406	下次不拆不会买了。太相信商家没拆开看。三个所谓布艺的发圈，一股塑料味，雨伞那种布料。五个电话圈各个接口处都是塑料丝，粗制滥造。直接扔了。	差评	材质与成分	材质质感或成分	材质廉价
发饰	发夹	组合发饰	85110406	下次不拆不会买了。太相信商家没拆开看。三个所谓布艺的发圈，一股塑料味，雨伞那种布料。五个电话圈各个接口处都是塑料丝，粗制滥造。直接扔了。	差评	工艺与做工	其他工艺与做工	质量或做工粗糙
发饰	发夹	组合发饰	85110406	下次不拆不会买了。太相信商家没拆开看。三个所谓布艺的发圈，一股塑料味，雨伞那种布料。五个电话圈各个接口处都是塑料丝，粗制滥造。直接扔了。	差评	工艺与做工	其他工艺与做工	质量或做工粗糙
发饰	发夹	头箍	852899	很好看，特别闪	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	852899	很好看，特别闪	好评	外观与设计	款式设计	闪亮
发饰	发夹	爪夹	84980205	东西好	好评	外观与设计	其他外观与设计	好
发饰	发夹	BB夹	84665706	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84799304	质量不错 好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	组合发饰	80594190	很可爱哦	好评	外观与设计	款式设计	可爱
发饰	发夹	马尾夹	85192902	好萌	好评	外观与设计	款式设计	可爱
发饰	发夹	组合发饰	761624	看着还可以	中评	外观与设计	其他外观与设计	一般
发饰	发夹	组合发饰	81719937	主要是带孩子逛，看到合适的就买，小女孩喜欢这种东西。东西也很好。	好评	外观与设计	其他外观与设计	好
发饰	发夹	头箍	84806606	好<看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	84814011	好′看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	84812701	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	BB夹	85011801	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	马尾夹	851551	好看	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	851528	款式好看 戴上很舒适	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	头箍	851528	款式好看 戴上很舒适	好评	功能与效果	佩戴舒适性	佩戴舒适
发饰	发夹	组合发饰	83391026	很好用	好评	功能与效果	其他功能与效果反馈	实用
发饰	发夹	组合发饰	81719953	小朋友很喜欢	好评	外观与设计	其他外观与设计	喜欢
发饰	发夹	BB夹	85170603	夹子还行，收银态度一般	中评	外观与设计	其他外观与设计	还行
发饰	发夹	BB夹	85173101	夹子不错	好评	外观与设计	其他外观与设计	不错
发饰	发夹	BB夹	85173401	夹子不错	好评	外观与设计	其他外观与设计	不错
发饰	发夹	爪夹	84813807	好看的哦	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	85113008	好看，质量不错	好评	外观与设计	款式设计	好看漂亮或款式满意
发饰	发夹	爪夹	85113008	好看，质量不错	好评	工艺与做工	其他工艺与做工	质量或做工好
